1671430366.566267, -0.001539, 0.688972, 0.281290
1671430366.661965, 0.019357, 0.743404, 0.281878
1671430366.761735, 0.044259, 0.796417, 0.285251
1671430366.862021, 0.073489, 0.832433, 0.287094
1671430366.965624, 0.112743, 0.876542, 0.281056
1671430367.067087, 0.165978, 0.914471, 0.275073
1671430367.164701, 0.218344, 0.943605, 0.275042
1671430367.265514, 0.263364, 0.970822, 0.282624
1671430367.363434, 0.319598, 0.991999, 0.276516
1671430367.466141, 0.381273, 1.006296, 0.265496
1671430367.566114, 0.441332, 1.019349, 0.254491
1671430367.663195, 0.493690, 1.016848, 0.256920
1671430367.765293, 0.555808, 1.016412, 0.254698
1671430367.863631, 0.610373, 1.027183, 0.255055
1671430367.963984, 0.664166, 1.036373, 0.263629
1671430368.065362, 0.728827, 1.034949, 0.261475
1671430368.165985, 0.793723, 1.025394, 0.258416
1671430368.264186, 0.860830, 1.024786, 0.256932
1671430368.364675, 0.915271, 1.016052, 0.259744
1671430368.467087, 0.982687, 1.009686, 0.256278
1671430368.567111, 1.056871, 1.002831, 0.249607
1671430368.667176, 1.116417, 1.003662, 0.249610
1671430368.765013, 1.171009, 0.992462, 0.245835
1671430368.864959, 1.237172, 0.988327, 0.241278
1671430368.965695, 1.303725, 0.982696, 0.237699
1671430369.066042, 1.350356, 0.971750, 0.237293
1671430369.164934, 1.404006, 0.956059, 0.234358
1671430369.266914, 1.462717, 0.932427, 0.233260
1671430369.362675, 1.507544, 0.915432, 0.236441
1671430369.465195, 1.551784, 0.894634, 0.236575
1671430369.566471, 1.601958, 0.861019, 0.234924
1671430369.664447, 1.660963, 0.828688, 0.231071
1671430369.766563, 1.717972, 0.809028, 0.228763
1671430369.866893, 1.772239, 0.786072, 0.228697
1671430369.963772, 1.831365, 0.764313, 0.220209
1671430370.064488, 1.891197, 0.727813, 0.213067
1671430370.163357, 1.932259, 0.703247, 0.213925
1671430370.263748, 1.972999, 0.679744, 0.210918
1671430370.363930, 2.019726, 0.653489, 0.208030
1671430370.464090, 2.078960, 0.623659, 0.207162
1671430370.563212, 2.124359, 0.598122, 0.210226
1671430370.662629, 2.174209, 0.576668, 0.208667
